FORMULA,Al,Co,Fe,Ni,Si,Cr,Mn,Ti,Cu,Mo,Nb,V,Zr,Sn,Ta,Hf,W,Zn,Re,Mg,Pd,YM
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,7.06319702602231,18.5873605947955,18.5873605947955,18.5873605947955,0.0,18.5873605947955,18.5873605947955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,205
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,20.0,16.0,16.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,180
Co1 Cr1 Fe1 Mn1 Ni1,0.0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,220
Co1 Cr1 Fe1 Mn1 Ni1 V0.25,0.0,19.0476190476191,19.0476190476191,19.0476190476191,0.0,19.0476190476191,19.0476190476191,0.0,0.0,0.0,0.0,4.76190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,215
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,0.0,18.1818181818182,18.1818181818182,18.1818181818182,0.0,18.1818181818182,18.1818181818182,0.0,0.0,0.0,0.0,9.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,210
Al0.3 Co1 Cr1 Cu1 Fe1,6.97674418604651,23.2558139534884,23.2558139534884,0.0,0.0,23.2558139534884,0.0,0.0,23.2558139534884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,194
Al0.5 Co1 Cr1 Cu1 Fe1,11.1111111111111,22.2222222222222,22.2222222222222,0.0,0.0,22.2222222222222,0.0,0.0,22.2222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,187
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,42.8816466552316,14.2795883361921,14.2795883361921,0.0,0.0,14.2795883361921,0.0,0.0,14.2795883361921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,136
Co1 Cr1 Cu1 Fe1,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,208
Co1 Cr1 Cu0.5 Fe1 Ni1,0.0,22.2222222222222,22.2222222222222,22.2222222222222,0.0,22.2222222222222,0.0,0.0,11.1111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,215
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,0.0,16.6666666666667,16.6666666666667,16.6666666666667,0.0,16.6666666666667,0.0,16.6666666666667,16.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,185
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,9.09090909090909,18.1818181818182,18.1818181818182,18.1818181818182,0.0,18.1818181818182,0.0,0.0,18.1818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,189
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,8.7719298245614,17.5438596491228,17.5438596491228,17.5438596491228,0.0,17.5438596491228,0.0,3.50877192982456,17.5438596491228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,185
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,8.47457627118644,16.9491525423729,16.9491525423729,16.9491525423729,0.0,16.9491525423729,0.0,6.77966101694915,16.9491525423729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,182
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,8.7719298245614,17.5438596491228,17.5438596491228,17.5438596491228,0.0,17.5438596491228,0.0,0.0,17.5438596491228,0.0,0.0,3.50877192982456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,186
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,7.47044070225726,14.9229666786098,14.9229666786098,14.9229666786098,0.0,14.9229666786098,0.0,0.0,14.9229666786098,0.0,0.0,17.9147259046937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,7.24578851227928,14.4915770245586,14.4915770245586,14.4915770245586,0.0,14.4915770245586,0.0,0.0,14.4915770245586,0.0,0.0,20.2963263649279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,175
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,7.03177822853279,14.0860942077981,14.0860942077981,14.0860942077981,0.0,14.0860942077981,0.0,0.0,14.0860942077981,0.0,0.0,22.5377507324769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,174
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,6.85066535239034,13.7013307047807,13.7013307047807,13.7013307047807,0.0,13.7013307047807,0.0,0.0,13.7013307047807,0.0,0.0,24.6426811237063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,172
